Name, Birthyear, Birthplace, Deathyear, Deathcause, Award, Height, Religion
Edgar G. Crossman, 1895, NA, 1967, NA, 2, NA, NA
Edgar G. Davies, 1898, NA, 1919, NA, 2, NA, NA
Edgar Gardner Tobin, 1896, NA, 1954, NA, 2, NA, NA
Edgar H. Lloyd, 1922, NA, 1944, NA, 14, NA, NA
Edgar Heilbronner, 1921, NA, 2006, NA, 20, NA, NA
Edgar Huff, 1920, NA, 1994, NA, 2, NA, NA
Edgar Jungnickel, 1914, NA, 1992, NA, 32, NA, NA
Edgar Lee McWethy Jr., 1944, NA, 1967, NA, 2, NA, NA
Edgar O. Amm, 1898, South Africa, 1953, NA, 3, NA, NA
Edgar Peacock, 1893, NA, 1955, NA, 27, NA, NA
Edgar Petersen, 1904, NA, 1986, NA, 32, NA, NA
Edgar Röhricht, 1892, NA, 1967, NA, 32, NA, NA
Edgar S. Gorrell, 1891, NA, 1945, NA, 39, NA, NA
Edgar Stentzler, 1905, Germany, 1941, NA, 32, NA, NA
Edgar Thomas Conley, 1874, NA, 1956, NA, 39, NA, NA
Edgar William Cox, 1882, NA, 1918, NA, 2, NA, NA
Edgar von Spiegel von und zu Peckelsheim, 1885, NA, 1965, NA, 10, NA, NA
Edgard de Larminat, 1895, France, 1962, NA, 5, NA, NA
Edgardo Vega Yunqué, 1936, NA, 2008, NA, 30, NA, NA
Edgeworth David, 1858, NA, 1934, Lobar pneumonia, 6, NA, NA
Edith Josie, 1921, NA, 2010, NA, 2, NA, NA
Edith Margaret Faulstich, 1907, NA, 1972, NA, 40, NA, NA
Edmond Butler, 1827, NA, 1895, NA, 14, NA, NA
Edmond Elles, 1848, NA, 1934, NA, 2, NA, NA
Edmond Konrad, 1909, NA, 1997, NA, 2, NA, NA
Edmond Pillon, 1891, NA, 1921, NA, 2, NA, NA
Edmond Schreiber, 1890, NA, 1978, NA, 3, NA, NA
Edmond Slade, 1859, NA, 1928, NA, 2, NA, NA
Edmonde Charles-Roux, 1920, France, 2016, NA, 13, NA, NA
Edmund Anstice, 1899, NA, 1979, NA, 17, NA, NA
Edmund B. Gregory, 1882, NA, 1961, NA, 39, NA, NA
Edmund Barrow, 1852, NA, 1934, NA, 2, NA, NA
Edmund Blaurock, 1899, Germany, 1966, NA, 32, NA, NA
Edmund Clifton Stoner, 1899, NA, 1968, NA, 13, NA, NA
Edmund Daser, 1908, Germany, 1974, NA, 32, NA, NA
Edmund English, 1841, NA, 1912, NA, 14, NA, NA
Edmund Ernest García, 1905, NA, 1971, NA, 17, NA, NA
Edmund Fremantle, 1836, NA, 1929, NA, 2, NA, NA
Edmund Greacen, 1877, NA, 1949, NA, 15, NA, NA
Edmund Hakewill-Smith, 1896, South Africa, 1986, NA, 6, NA, NA
Edmund Happold, 1930, NA, 1996, NA, 35, NA, NA
Edmund Hill, 1896, United States, 1973, NA, 7, NA, NA
Edmund Hillary, 1919, NA, 2008, NA, 19, NA, NA
Edmund Hirst, 1898, NA, 1975, NA, 2, NA, NA
Edmund Hoffmeister, 1893, NA, 1951, NA, 32, NA, NA
Edmund Hudleston, 1908, NA, 1994, NA, 2, NA, NA
Edmund Lind (medical officer), 1888, NA, 1944, NA, 2, NA, NA
Edmund Murton Walker, 1877, NA, 1969, NA, 14, NA, NA
Edmund Nagle, 1757, NA, 1830, NA, 17, NA, NA
Edmund Nathanael, 1889, NA, 1917, NA, 3, NA, NA
Edmund Osborne, 1885, NA, 1969, NA, 2, NA, NA
Edmund Poë, 1849, NA, 1921, NA, 2, NA, NA
Edmund Rice (Medal of Honor), 1842, NA, 1906, NA, 14, NA, NA
Edmund Roßmann, 1918, NA, 2004, NA, 32, NA, NA
Edmund Rupert Drummond, 1884, NA, 1965, NA, 2, NA, NA
Edmund Sebree, 1898, NA, 1966, NA, 4, NA, NA
Edmund Wagner, 1914, Germany, 1941, NA, 32, NA, NA
Edmund Whitmore, 1819, NA, 1890, NA, 17, NA, NA
Edoardo Villa, 1915, Italy, 2011, NA, 22, NA, NA
Edric Broadberry, 1894, NA, 1967, NA, 14, NA, NA
Edris Eckhardt, 1905, NA, 1998, NA, 2, NA, NA
Eduard Altacher, 1919, NA, 1945, NA, 32, NA, NA
Eduard Brunner (officer), 1918, Germany, 2006, NA, 32, NA, NA
Eduard Crasemann, 1891, Germany, 1950, NA, 32, NA, NA
Eduard Gaugler, 1928, Germany, 2014, NA, 3, NA, NA
Eduard Hauser (soldier), 1895, Germany, 1961, NA, 32, NA, NA
Eduard Hübner, 1914, Germany, 1996, NA, 32, NA, NA
Eduard Isken, 1918, NA, 1997, NA, 32, NA, NA
Eduard Lindinger, 1915, Germany, 2004, NA, 32, NA, NA
Eduard Meyer (pilot), 1919, Germany, 1942, NA, 32, NA, NA
Eduard Neumann, 1911, NA, 2004, NA, 3, NA, NA
Eduard Pulpe, 1880, Latvia, 1916, NA, 3, NA, NA
Eduard Ritter von Dostler, 1892, NA, 1917, NA, 4, NA, NA
Eduard Ritter von Schleich, 1888, NA, 1947, NA, 3, NA, NA
Eduard Skrzipek, 1917, NA, 1945, NA, 32, NA, NA
Eduard Tratt, 1919, Germany, 1944, NA, 32, NA, NA
Eduard Vogel von Falckenstein, 1797, NA, 1885, NA, 2, NA, NA
Eduard Zorn, 1901, Germany, 1945, NA, 32, NA, NA
Eduard von Bonin, 1793, NA, 1865, NA, 10, NA, NA
Eduard von Fransecky, 1807, NA, 1890, NA, 14, NA, NA
Eduardo Barrón, 1888, NA, 1949, NA, 20, NA, NA
Eduardo C. Gomez, 1919, NA, 1972, NA, 3, NA, NA
Eduardo Quisumbing, 1895, NA, 1986, NA, 37, NA, NA
Eduardo Torroja, 1899, NA, 1961, NA, 19, NA, NA
Eduards Kalniņš, 1876, NA, 1964, NA, 2, NA, NA
Eduards Smiļģis, 1886, NA, 1966, NA, 27, NA, NA
Edvard Diriks, 1855, NA, 1930, NA, 2, NA, NA
Edward Porky Cragg, 1919, NA, 1943, NA, 5, NA, NA
Edward Tug Wilson, 1921, NA, 2009, NA, 2, NA, NA
Edward A. Bennett, 1920, NA, 1983, NA, 4, NA, NA
Edward A. Craig, 1896, NA, 1994, NA, 4, NA, NA
Edward A. DeVore Jr., 1947, NA, 1968, NA, 2, NA, NA
Edward A. Gisburne, 1892, NA, 1955, NA, 14, NA, NA
Edward A. Irving, 1927, NA, 2014, NA, 4, NA, NA
Edward A. Neloy, 1924, NA, 1971, NA, 2, NA, NA
Edward A. Silk, 1916, NA, 1955, NA, 2, NA, NA
Edward Addison, 1898, NA, 1987, NA, 4, NA, NA
Edward Albert Ostermann, 1882, NA, 1969, NA, 2, NA, NA
Edward Alexander Walker, 1864, NA, 1946, NA, 14, NA, NA
Edward Alexander Wilmot Williams, 1910, NA, 1994, NA, 3, NA, NA
Edward Alfred Cowper, 1819, NA, 1893, Pneumonia, 21, NA, NA
Edward Allan Wood, 1872, NA, 1930, NA, 4, NA, NA
Edward Allen (Medal of Honor), 1859, Netherlands, 1917, NA, 14, NA, NA
Edward Allworth, 1895, NA, 1966, NA, 14, NA, NA
Edward Allworthy Armstrong, 1900, NA, 1978, NA, 2, NA, NA
Edward Alvin Clary, 1883, NA, 1939, NA, 14, NA, NA
Edward Amy, 1918, NA, 2011, NA, 5, NA, NA
Edward Ashmore (British Army officer), 1872, NA, 1953, NA, 4, NA, NA
Edward Astley-Rushton, 1879, NA, 1935, NA, 2, NA, NA
Edward B. Spalding, 1840, NA, 1920, NA, 14, NA, NA
Edward B. Young, 1835, NA, 1867, NA, 14, NA, NA
Edward Bancroft Williston, 1837, NA, 1920, NA, 14, NA, NA
Edward Bartow, 1870, NA, 1958, NA, 32, NA, NA
Edward Beck (British Army officer), 1880, NA, 1974, NA, 27, NA, NA
Edward Blakeney, 1778, NA, 1868, NA, 2, NA, NA
Edward Boker Sterling, 1851, NA, 1925, NA, 40, NA, NA
Edward Bowring Stephens, 1815, NA, 1882, NA, 21, NA, NA
Edward Boxer, 1784, NA, 1855, NA, 17, NA, NA
Edward Brace, 1770, NA, 1843, NA, 4, NA, NA
Edward Broadbent (British Army officer), 1875, NA, 1944, NA, 4, NA, NA
Edward Brodhead Green, 1855, NA, 1950, NA, 46, NA, NA
Edward Brown Jr., 1841, NA, 1911, NA, 14, NA, NA
Edward Bulfin, 1862, Ireland, 1939, NA, 3, NA, NA
Edward Burgess (British Army officer), 1927, NA, 2015, NA, 2, NA, NA
Edward C. Dahlgren, 1916, NA, 2006, NA, 14, NA, NA
Edward C. Kalbfus, 1877, NA, 1954, NA, 2, NA, NA
Edward C. Krzyzowski, 1914, NA, 1951, NA, 2, NA, NA
Edward C. T. Chao, 1919, China, 2008, NA, 15, NA, NA
Edward Carlson, 1911, NA, 1990, NA, 52, NA, NA
Edward Charles Howard, 1774, NA, 1816, NA, 2, NA, NA
Edward Charlton (Royal Navy officer), 1865, NA, 1937, NA, 2, NA, NA
Edward Chester Plow, 1904, NA, 1988, NA, 3, NA, NA
Edward Chilton, 1906, NA, 1992, NA, 4, NA, NA
Edward Collingwood, 1900, NA, 1970, NA, 5, NA, NA
Edward Crew, 1917, NA, 2002, NA, 4, NA, NA
Edward Curtis Franklin, 1862, NA, 1937, NA, 19, NA, NA
Edward D. Goldberg, 1921, United States, 2008, NA, 41, NA, NA
Edward Davies (RAF officer), 1899, NA, 1974, NA, 27, NA, NA
Edward Dawson Atkinson, 1891, NA, 1934, NA, 2, NA, NA
Edward Delaval, 1729, NA, 1814, NA, 12, NA, NA
Edward Denman Clarke, 1898, NA, 1966, NA, 2, NA, NA
Edward Dobson, 1816, NA, 1908, NA, 13, NA, NA
Edward Durnford King, 1771, NA, 1862, NA, 20, NA, NA
Edward Dyke Acland, 1878, NA, 1968, NA, 2, NA, NA
Edward E. Dodds, 1845, NA, 1901, NA, 14, NA, NA
Edward E. Hammer, 1931, NA, 2012, NA, 17, NA, NA
Edward E. Kinzer, 1917, NA, 1942, NA, 10, NA, NA
Edward E. Lyon, 1871, NA, 1931, NA, 14, NA, NA
Edward Edinborough Chamberlain, 1906, NA, 1993, NA, 21, NA, NA
Edward Evans-Lombe, 1901, NA, 1974, NA, 17, NA, NA
Edward F. Welch Jr., 1924, NA, 2008, NA, 3, NA, NA
Edward Fanshawe, 1814, NA, 1906, NA, 17, NA, NA
Edward Fanshawe (British Army officer), 1859, NA, 1952, NA, 17, NA, NA
Edward Fielden (RAF officer), 1903, NA, 1976, NA, 5, NA, NA
Edward Fitzherbert 13th Baron Stafford, 1864, NA, 1941, NA, 17, NA, NA
Edward Fitzmaurice Inglefield, 1861, NA, 1945, NA, 2, NA, NA
Edward Floyd (Medal of Honor), 1850, NA, 1923, NA, 14, NA, NA
Edward Foote, 1767, NA, 1833, NA, 17, NA, NA
Edward Ford (physician), 1902, NA, 1986, NA, 2, NA, NA
Edward Fowell Martin, 1875, NA, 1950, NA, 3, NA, NA
Edward G. Robinson, 1893, NA, 1973, Bladder cancer, 2, NA, NA
Edward G. Wilkin, 1917, NA, 1945, NA, 14, NA, NA
Edward Galas, 1928, Poland, 2003, NA, 26, NA, NA
Edward Gordon Jones, 1914, NA, 2007, NA, 5, NA, NA
Edward Grahame Johnstone, 1899, NA, 1946, NA, 44, NA, NA
Edward Grange, 1892, United States, 1988, NA, 2, NA, NA
Edward Griffith Colpoys, 1767, NA, 1832, NA, 17, NA, NA
Edward Grove, 1852, NA, 1932, NA, 2, NA, NA
Edward H. Gibson, 1872, NA, 1942, NA, 14, NA, NA
Edward H. Smith (sailor), 1889, NA, 1961, NA, 48, NA, NA
Edward Hamilton (British Army officer), 1854, NA, 1944, NA, 2, NA, NA
Edward Hanson, 1889, NA, 1959, NA, 3, NA, NA
Edward Harvey, 1783, NA, 1865, NA, 17, NA, NA
Edward Haven Mason, 1849, NA, 1917, NA, 40, NA, NA
Edward Heaton-Ellis, 1868, NA, 1943, NA, 3, NA, NA
Edward Henry Allen, 1908, NA, 1942, NA, 2, NA, NA
Edward Hoare (RAF airman), 1890, NA, 1973, NA, 26, NA, NA
Edward Hodge, 1810, NA, 1894, NA, 17, NA, NA
Edward Hopton, 1837, NA, 1912, NA, 17, NA, NA
Edward Howard-Vyse, 1905, NA, 1992, NA, 3, NA, NA
Edward J. Bebb, 1839, NA, 1916, NA, 14, NA, NA
Edward J. McShane, 1904, NA, 1989, NA, 15, NA, NA
Edward J. Moskala, 1921, NA, 1945, NA, 14, NA, NA
Edward J. O'Neill, 1902, NA, 1979, NA, 3, NA, NA
Edward James Salisbury, 1886, NA, 1978, NA, 3, NA, NA
Edward John McClernand, 1848, NA, 1936, NA, 14, NA, NA
Edward Johnston (Medal of Honor), 1844, United States, 1920, NA, 14, NA, NA
Edward L. Baker Jr., 1865, NA, 1913, NA, 14, NA, NA
Edward L. Cochrane, 1892, NA, 1959, NA, 2, NA, NA
Edward L. Gilligan, 1843, NA, 1922, NA, 14, NA, NA
Edward L. Kessel, 1904, NA, 1997, NA, 65, NA, NA
Edward L Woodruff, 1851, NA, 1943, NA, 39, NA, NA
Edward Loch 2nd Baron Loch, 1873, NA, 1942, NA, 5, NA, NA
Edward M. Knox, 1842, NA, 1916, NA, 14, NA, NA
Edward Maddin, 1852, NA, 1925, NA, 14, NA, NA
Edward Maitland (RAF officer), 1880, NA, 1921, NA, 4, NA, NA
Edward Maitland Makgill Crichton, 1916, NA, 2009, NA, 27, NA, NA
Edward Mann Lewis, 1863, NA, 1949, NA, 13, NA, NA
Edward Masterman, 1880, NA, 1957, NA, 4, NA, NA
Edward Milford, 1894, NA, 1972, NA, 4, NA, NA
Edward Mortlock Donaldson, 1912, NA, 1992, NA, 6, NA, NA
Edward N. Whittier, 1840, NA, 1902, NA, 14, NA, NA
Edward Neville Syfret, 1889, South Africa, 1972, NA, 5, NA, NA
Edward Nicolls, 1779, NA, 1865, NA, 17, NA, NA
Edward Northey (British Army officer), 1868, NA, 1953, NA, 2, NA, NA
Edward Orlando Kellett, NA, NA, 1943, NA, 27, NA, NA
Edward Orrick McDonnell, 1891, NA, 1960, NA, 14, NA, NA
Edward Owen (Royal Navy officer), 1771, NA, 1849, NA, 2, NA, NA
Edward Peck Curtis, 1897, United States, 1987, NA, 43, NA, NA
Edward Pennell, 1894, NA, 1974, NA, 2, NA, NA
Edward Preston Young, 1913, NA, 2003, NA, 3, NA, NA
Edward Puttick, 1890, NA, 1976, NA, 3, NA, NA
Edward R. Bowman, 1826, NA, 1898, NA, 14, NA, NA
Edward R. Bradley, 1859, United States, 1946, NA, 2, NA, NA
Edward R. Hanford, 1845, NA, 1890, NA, 14, NA, NA
Edward R. Schowalter Jr., 1927, NA, 2003, NA, 3, NA, NA
Edward R. Talley, 1890, NA, 1950, NA, 14, NA, NA
Edward Ratcliff, 1835, NA, 1915, NA, 14, NA, NA
Edward Rice (Royal Navy officer), 1819, NA, 1902, NA, 17, NA, NA
Edward Ringold, 1827, NA, 1864, NA, 14, NA, NA
Edward Robert Harrison, 1919, NA, 2007, NA, 13, NA, NA
Edward Robert Sellstrom, 1916, NA, 1942, NA, 10, NA, NA
Edward Rotheram, 1753, NA, 1830, NA, 17, NA, NA
Edward S. Holden, 1846, NA, 1914, NA, 28, NA, NA
Edward S. Martin, 1840, NA, 1901, NA, 14, NA, NA
Edward S. Michael, 1918, NA, 1994, NA, 3, NA, NA
Edward Sayers (aviator), 1897, NA, 1918, NA, 18, NA, NA
Edward Scholefield, 1893, Canada, 1929, NA, 2, NA, NA
Edward Schunck, 1820, NA, 1903, NA, 10, NA, NA
Edward Settle Godfrey, 1843, NA, 1932, NA, 14, NA, NA
Edward Sismore, 1921, NA, 2012, NA, 5, NA, NA
Edward Smart, 1891, NA, 1961, NA, 3, NA, NA
Edward Spring Knapp, 1879, NA, 1940, NA, 40, NA, NA
Edward Stafford (diplomat), 1552, NA, 1605, NA, 51, NA, NA
Edward Stedman, 1842, NA, 1925, NA, 2, NA, NA
Edward Sullivan (Medal of Honor), 1870, Ireland, 1955, NA, 14, NA, NA
Edward Swatton, 1836, NA, 1865, NA, 14, NA, NA
Edward Thomas Williams, 1901, NA, 1973, NA, 3, NA, NA
Edward Thornbrough, 1754, NA, 1834, NA, 17, NA, NA
Edward Thorne (naval officer), 1923, NA, 2013, NA, 2, NA, NA
Edward W. Mulcahy, 1921, NA, 2006, NA, 2, NA, NA
Edward Welsh, 1843, NA, 1929, NA, 14, NA, NA
Edward Westby Donovan, 1821, NA, 1897, NA, 16, NA, NA
Edward Weston (chemist), 1850, NA, 1936, NA, 3, NA, NA
Edward White (Medal of Honor), 1877, NA, 1908, NA, 14, NA, NA
Edward William Boers, 1884, NA, 1929, NA, 14, NA, NA
Edward Willis (British Army officer), 1870, NA, 1961, NA, 2, NA, NA
Edward Wolfe (RAF officer), 0011, NA, 1994, NA, 43, NA, NA
Edward Woodgate, 1845, NA, 1900, NA, 33, NA, NA
Edward Wright (Medal of Honor), 1829, NA, 1901, NA, 14, NA, NA
Edwin A. Clear, 1896, NA, 1960, NA, 14, NA, NA
Edwin A. Loberg, 1915, NA, 2004, NA, 3, NA, NA
Edwin A. Pollock, 1899, NA, 1982, NA, 3, NA, NA
Edwin Alderson, 1859, NA, 1927, NA, 3, NA, NA
Edwin Alfred Howard, 1922, NA, 1942, NA, 11, NA, NA
Edwin B. Hooper, 1909, NA, 1986, NA, 9, NA, NA
Edwin B. Winans (general), 1869, NA, 1947, NA, 7, NA, NA
Edwin Bader, 1915, Austria, 1944, NA, 32, NA, NA
Edwin Baker, 1893, NA, 1968, NA, 3, NA, NA
Edwin Benbow, 1895, NA, 1918, NA, 14, NA, NA
Edwin Bowman Lyon, 1892, NA, 1971, NA, 2, NA, NA
Edwin Campion Vaughan, 1897, United Kingdom, 1931, NA, 14, NA, NA
Edwin Charles Parsons, 1892, NA, 1968, NA, 4, NA, NA
Edwin Claude Bromley, 1888, NA, 1928, NA, 14, NA, NA
Edwin Cole (RAF officer), 1895, NA, 1984, NA, 14, NA, NA
Edwin Cooper (architect), 1874, NA, 1942, NA, 16, NA, NA
Edwin D. Patrick, 1894, NA, 1945, NA, 3, NA, NA
Edwin Dunkin, 1821, NA, 1898, NA, 13, NA, NA
Edwin Edward Hunnisett, 1896, NA, 1918, NA, 2, NA, NA
Edwin Flavell, 1898, NA, 1993, NA, 3, NA, NA
Edwin Goodrich, 1843, NA, 1910, NA, 14, NA, NA
Edwin H. Simmons, 1921, NA, 2007, NA, 5, NA, NA
Edwin Hayne, 1895, NA, 1919, NA, 2, NA, NA
Edwin Howard Armstrong, 1890, United States, 1954, NA, 2, NA, NA
Edwin Hughes (British Army soldier), 1830, NA, 1927, NA, 2, NA, NA
Edwin L. Elwood, 1847, United States, 1907, NA, 14, NA, NA
Edwin L. Sibert, 1897, NA, 1977, NA, 39, NA, NA
Edwin Leonard, 1823, NA, 1900, NA, 14, NA, NA
Edwin Markham (British Army officer), 1833, NA, 1918, NA, 17, NA, NA
Edwin Moon, 1886, NA, 1920, NA, 4, NA, NA
Edwin Morris (British Army officer), 1889, NA, 1970, NA, 3, NA, NA
Edwin Müller, 1898, Austria, 1962, NA, 40, NA, NA
Edwin Nelson Appleton, 1877, NA, 1937, NA, 14, NA, NA
Edwin Power, 1928, NA, 2004, NA, 12, NA, NA
Edwin R. Gilliland, 1909, NA, 1973, NA, 60, NA, NA
Edwin Reyno, 1917, Canada, 1982, NA, 2, NA, NA
Edwin Swale, 1899, NA, 1978, NA, 2, NA, NA
Edwin T. Layton, 1903, NA, 1984, NA, 2, NA, NA
Edwin Thiel, 1913, Germany, 1944, NA, 32, NA, NA
Edwin W. Rice, 1862, NA, 1935, NA, 17, NA, NA
Edwyn Alexander-Sinclair, 1865, NA, 1945, NA, 3, NA, NA
Eero Nelimarkka, 1891, NA, 1977, NA, 28, NA, NA
Efraim Racker, 1913, Poland, 1991, NA, 25, NA, NA
Efraín Figueroa-Meléndez, 1942, NA, 1969, NA, 2, NA, NA
Egbert Jaeckel, 1919, Czech Republic, 1943, NA, 32, NA, NA
Egbert Picker, 1895, Germany, 1960, NA, 32, NA, NA
Eggert Neumann, 1912, NA, 1970, NA, 32, NA, NA
Eggert Reeder, 1894, NA, 1959, NA, 26, NA, NA
Eginhard Weißmann, 1923, Germany, 1998, NA, 32, NA, NA
Egmont Prinz zur Lippe-Weißenfeld, 1918, Austria, 1944, NA, 32, NA, NA
Egon-Reiner von Schlippenbach, 1914, NA, 1979, NA, 32, NA, NA
Egon Aghta, 1918, Germany, 1945, NA, 32, NA, NA
Egon Albrecht-Lemke, 1918, NA, 1944, NA, 32, NA, NA
Egon Christophersen, 1919, Denmark, 1988, NA, 4, NA, NA
Egon Delica, 1915, NA, 1999, NA, 32, NA, NA
Egon Franz, 1921, NA, 1945, NA, 4, NA, NA
Egon Mayer, 1917, NA, 1944, NA, 32, NA, NA
Egon von Neindorff, 1892, NA, 1944, NA, 3, NA, NA
Ehrenfried-Oskar Boege, 1889, Poland, 1965, NA, 32, NA, NA
Ehrhard Schmidt, 1863, NA, 1946, NA, 14, NA, NA
Ehud Manor, 1941, NA, 2005, NA, 12, NA, NA
Eiliv Austlid, 1899, NA, 1940, NA, 18, NA, NA
Eilís Dillon, 1920, NA, 1994, NA, 27, NA, NA
Einar Jolin, 1890, Sweden, 1976, NA, 18, NA, NA
Einar Lundborg, 1896, India, 1931, NA, 6, NA, NA
Einar Sissener, 1897, NA, 1968, NA, 2, NA, NA
Eino Kuvaja, 1906, NA, 1975, NA, 16, NA, NA
Eitel-Albert Barth, 1915, NA, 2004, NA, 32, NA, NA
Eitel-Friedrich Kentrat, 1906, NA, 1974, NA, 32, NA, NA
Eivind Astrup, 1871, NA, 1895, NA, 2, NA, NA
Eižens Laube, 1880, NA, 1967, NA, 2, NA, NA
Ekhlasuddin Ahmed, 1940, NA, 2014, NA, 13, NA, NA
Ekkehard Kylling-Schmidt, 1918, Germany, 2000, NA, 32, NA, NA
Ekkehard Tichy, 1922, NA, 1944, NA, 32, NA, NA
Ekrem Akurgal, 1911, NA, 2002, NA, 3, NA, NA
Elaine Bullard, 1915, NA, 2011, NA, 3, NA, NA
Elaine Roe, 1919, NA, 0005, NA, 3, NA, NA
Elangbam Nilakanta Singh, 1927, NA, 2000, NA, 10, NA, NA
Elbey Rzaguliyev, 1926, Azerbaijan, 2007, NA, 2, NA, NA
Elbridge Robinson, 1844, NA, 1918, NA, 14, NA, NA
Elden H. Johnson, 1921, NA, 1944, NA, 14, NA, NA
Eleanor Ross Taylor, 1920, NA, 2011, NA, 23, NA, NA
Eleanor Sanger, 1929, NA, 1993, NA, 2, NA, NA
Eledath Thaikkattu Neelakandan Mooss, 1904, India, 1997, NA, 10, NA, NA
Elena Nathanael, 1947, NA, 2008, NA, 40, NA, NA
Eli D. Hoyle, 1851, NA, 1921, NA, 2, NA, NA
Eli Hurvitz, 1932, NA, 2011, NA, 12, NA, NA
Eli K. Cole, 1867, NA, 1929, NA, 10, NA, NA
Eli L. Whiteley, 1913, NA, 1986, NA, 3, NA, NA
Eli Thompson Fryer, 1878, NA, 1963, NA, 14, NA, NA
Eli Waldron, 1916, NA, 1980, NA, 16, NA, NA
Eli Wallach, 1915, NA, 2014, NA, 27, NA, NA
Eliab Harvey, 1758, NA, 1830, NA, 17, NA, NA
Elias Goldberg, 1886, NA, 1978, NA, 11, NA, NA
Elihu H. Mason, 1831, NA, 1896, NA, 14, NA, NA
Elijah A. Briggs, 1843, NA, 1922, NA, 14, NA, NA
Elijah W. Bacon, 1836, NA, 1864, NA, 14, NA, NA
Elimar Klebs, 1852, NA, 1918, NA, 28, NA, NA
Elisabeth Schwarzkopf, 1915, NA, 2006, NA, 8, NA, NA
Eliseo Verón, 1935, Argentina, 2014, NA, 21, NA, NA
Elisha Gray, 1835, NA, 1901, NA, 21, NA, NA
Elisha Johns, 1837, NA, 1920, NA, 14, NA, NA
Elizabeth Bagshaw, 1881, Canada, 1982, NA, 15, NA, NA
Elizabeth Coffin, 1848, NA, 1930, NA, 34, NA, NA
Elizabeth Gray Vining, 1902, NA, 1999, NA, 2, NA, NA
Elizabeth Jacobson, 1984, NA, 2005, NA, 6, NA, NA
Elizabeth Lee Hazen, 1885, NA, 1975, NA, 31, NA, NA
Elizabeth Marie Pope, 1917, NA, 1992, NA, 13, NA, NA
Elizabeth Olds, 1896, NA, 1991, NA, 21, NA, NA
Elizabeth S. Russell, 1913, NA, 2001, NA, 26, NA, NA
Elizabeth Taylor, 1932, NA, 2011, NA, 59, NA, NA
Ella Cara Deloria, 1889, NA, 1971, NA, 24, NA, NA
Ellen Church, 1904, NA, 1965, NA, 4, NA, NA
Ellen Powell Tiberino, 1937, NA, 1992, NA, 29, NA, NA
Ellery Denison, 1900, NA, 1989, NA, 40, NA, NA
Elliott B. Strauss, 1903, NA, 2003, NA, 17, NA, NA
Elliott Buckmaster, 1889, NA, 1976, NA, 2, NA, NA
Elliott C. Cutler Jr., 1920, NA, 2007, NA, 3, NA, NA
Elliott Cutler, 1888, NA, 1947, NA, 3, NA, NA
Elliott Loughlin, 1910, NA, 1989, NA, 4, NA, NA
Elliott Perry, 1884, NA, 1972, NA, 40, NA, NA
Ellis M. Zacharias, 1890, NA, 1961, NA, 15, NA, NA
Ellis R. Weicht, 1916, NA, 1944, NA, 3, NA, NA
Ellis Vair Reid, 1889, NA, 1917, NA, 44, NA, NA
Ellis Wackett, 1901, NA, 1984, NA, 2, NA, NA
Elmelindo Rodrigues Smith, 1935, NA, 1967, NA, 2, NA, NA
Elmer Ambrose Sperry, 1860, NA, 1930, NA, 2, NA, NA
Elmer Charles Bigelow, 1920, NA, 1945, NA, 14, NA, NA
Elmer E. Fryar, 1914, NA, 1944, NA, 3, NA, NA
Elmer E. Kirkpatrick, 1905, NA, 1990, NA, 2, NA, NA
Elmer Gedeon, 1917, NA, 1944, NA, 2, NA, NA
Elmer Heindl, 1910, NA, 2006, NA, 4, NA, NA
Elmer Ivan Applegate, 1867, NA, 1949, NA, 15, NA, NA
Elmer J. Burr, 1908, NA, 1942, NA, 14, NA, NA
Elmer J. Rogers Jr., 1903, NA, 2002, NA, 8, NA, NA
Elmer L. Gaden, 1923, NA, 2012, NA, 31, NA, NA
Elmer Tarbox, 1916, NA, 1987, NA, 3, NA, NA
Elmershaus von Haxthausen, 1915, Germany, 1983, NA, 32, NA, NA
Elmo Williams, 1913, United States, 2015, NA, 2, NA, NA
Eloi Charlemagne Taupin, 1767, France, 1814, NA, 16, NA, NA
Elsa Wiezell, 1926, Paraguay, 2014, NA, 13, NA, NA
Elsie March, 1884, NA, 1974, NA, 21, NA, NA
Emanoil Ionescu, 1893, NA, 1949, NA, 32, NA, NA
Emanuel Cvjetićanin, 1833, Austria, 1919, NA, 31, NA, NA
Emanuel Stance, 1843, NA, 1887, NA, 14, NA, NA
Emanuele Cavalli, 1904, Italy, 1981, NA, 6, NA, NA
Emerson Francis Woodward, 1879, NA, 1943, NA, 2, NA, NA
Emerson Greenaway, 1906, United States, 1990, NA, 3, NA, NA
Emerson LeRoy Cummings, 1902, NA, 1986, NA, 3, NA, NA
Emil Badorrek, 1910, NA, 1944, NA, 32, NA, NA
Emil Berner, 1921, Germany, 2008, NA, 32, NA, NA
Emil Bitsch, 1916, NA, 1944, NA, 32, NA, NA
Emil Bäuerle, 1917, Germany, 2007, NA, 32, NA, NA
Emil Carlsen, 1853, Denmark, 1932, NA, 2, NA, NA
Emil Dürr, 1920, Germany, 1944, NA, 4, NA, NA
Emil Eitel, 1915, Germany, 1944, NA, 32, NA, NA
Emil F. Reinhardt, 1888, NA, 1969, NA, 2, NA, NA
Emil Fredericksen, NA, NA, 1960, NA, 14, NA, NA
Emil Hassler, 1864, Switzerland, 1937, NA, 3, NA, NA
Emil Haury, 1904, NA, 1992, NA, 17, NA, NA
