Name, Birthyear, Birthplace, Deathyear, Deathcause, Award, Height, Religion
Victor Oehrn, 1907, NA, 1997, NA, 32, NA, NA
Victor Oreshnikov, 1904, NA, 1987, NA, 2, NA, NA
Victor Régnier, 1889, NA, 1966, NA, 3, NA, NA
Victor Secombe, 1897, NA, 1962, NA, 2, NA, NA
Victor Sjöström, 1879, Sweden, 1960, NA, 2, NA, NA
Victor Smith, 1913, NA, 1998, NA, 5, NA, NA
Victor Stanley (Royal Navy officer), 1867, NA, 1934, NA, 2, NA, NA
Victor Talrose, 1922, NA, 2004, NA, 11, NA, NA
Victor Vifquain, 1836, NA, 1904, NA, 14, NA, NA
Victor de Fay de La Tour-Maubourg, 1768, NA, 1850, NA, 4, NA, NA
Vidya Niwas Mishra, 1926, India, 2005, NA, 4, NA, NA
Vigleik Eide, 1933, NA, 2011, NA, 17, NA, NA
Vijay Anand (Hindi film maker), 1934, NA, 2004, NA, 3, NA, NA
Vijay Bhatt, 1907, NA, 1993, NA, 28, NA, NA
Vijay Tendulkar, 1928, NA, 2008, NA, 3, NA, NA
Vijayant Thapar, 1976, NA, 1999, NA, 10, NA, NA
Vikram Marwah, 1925, NA, 2013, NA, 2, NA, NA
Viktor Bauer, 1915, NA, 1969, NA, 32, NA, NA
Viktor Dubynin, 1943, NA, 1992, NA, 3, NA, NA
Viktor Eberhard Gräbner, 1914, Germany, 1944, NA, 7, NA, NA
Viktor Lazarev, 1897, NA, 1976, NA, 16, NA, NA
Viktor Linnarz, 1894, NA, 1979, NA, 12, NA, NA
Viktor Pashutin, 1845, NA, 1901, NA, 4, NA, NA
Viktor Petermann, 1916, NA, 2001, NA, 32, NA, NA
Viktor Rall, 1896, NA, 1984, NA, 32, NA, NA
Viktor Schobinger, 1893, Germany, 1989, NA, 2, NA, NA
Viktor Vitali, 1920, Austria, 2012, NA, 32, NA, NA
Viktor Wagner, 1908, NA, 1981, NA, 17, NA, NA
Viktor von Loßberg, 1904, NA, 1983, NA, 32, NA, NA
Viktor von Pressentin von Rautter, 1896, NA, 1918, NA, 2, NA, NA
Viktor von Schwedler, 1885, NA, 1954, NA, 2, NA, NA
Vilhelm Andreas Wexelsen, 1849, Norway, 1909, NA, 2, NA, Christian
Vilhelm Petersen, 1830, Denmark, 1913, NA, 18, NA, NA
Vilhelm Wohlert, 1920, Denmark, 2007, NA, 4, NA, NA
Vilis Janums, 1894, Latvia, 1981, NA, 6, NA, NA
Villiers Hatton, 1852, NA, 1914, NA, 17, NA, NA
Vilma Espín, 1930, NA, 2007, NA, 17, NA, NA
Vimla Dang, 1926, NA, 2009, NA, 10, NA, NA
Vinay Chandra Maudgalya, 1918, NA, 1995, NA, 10, NA, NA
Vince Hanson, 1923, NA, 2009, NA, 3, 2.0827999999999998, NA
Vincent Andrew Hartgen, 1914, NA, 2002, NA, 2, NA, NA
Vincent Barkly Molteno, 1872, NA, 1952, NA, 2, NA, NA
Vincent Bladen, 1900, NA, 1981, NA, 15, NA, NA
Vincent Crane Richmond, 1893, NA, 1930, NA, 27, NA, NA
Vincent Domanski Jr., 1894, NA, 1968, NA, 40, NA, NA
Vincent Graves Greene, 1893, NA, 1988, NA, 2, NA, NA
Vincent Martel Deconchy, 1768, NA, 1823, NA, 3, NA, NA
Vincent Massey (enzymologist), 1926, Australia, 2002, NA, 2, NA, NA
Vincent Price, 1911, NA, 1993, Lung cancer, 22, NA, NA
Vincent R. Capodanno, 1929, NA, 1967, NA, 3, NA, NA
Vinko Knežević, 1755, Croatia, 1832, NA, 31, NA, NA
Vinko Nikolić, 1912, NA, 1997, NA, 21, NA, NA
Vinod Prakash Sharma, 1938, NA, ['2015', '0009'], NA, 7, NA, NA
Vinton Freedley, 1891, NA, 1969, NA, 10, NA, NA
Vinzenz Kaiser, 1904, Austria, 1945, NA, 6, NA, NA
Viola Herms Drath, 1920, NA, 2011, Homicide, 45, NA, NA
Violet Archer, 1913, NA, 2000, NA, 15, NA, NA
Virendra Prabhakar, 1928, NA, 2015, NA, 5, NA, NA
Viresh Pratap Chaudhry, 1938, NA, 2013, NA, 10, NA, NA
Virgil Brennan, 1920, NA, 1943, NA, 2, NA, NA
Virgil Cantini, 1919, NA, 2009, NA, 2, NA, NA
Virgil R. Miller, 1900, NA, 1968, NA, 5, NA, NA
Virgilio N. Cordero Jr., 1893, NA, 1980, NA, 4, NA, NA
Virginia Pérez-Ratton, 1950, Costa Rica, 2010, NA, 32, NA, NA
Virna Lisi, 1936, NA, 2014, Cancer, 14, NA, NA
Vishnu Madav Ghatage, 1908, NA, 1991, NA, 10, NA, NA
